net.sta,lat,lon
BK.BDM,37.95397,-121.86554
BK.BKS,37.87622,-122.23558
BK.BL67,37.87492,-122.24318
BK.BL88,37.87715,-122.25429
BK.BRK,37.87352,-122.26099
BK.CMSB,37.87195,-122.25168
BK.CVS,38.34526,-122.4584
BK.FARB,37.69782,-123.0011
BK.JRSC,37.40373,-122.23868
BK.MCCM,38.14478,-122.88018
BK.MHC,37.34164,-121.64257
BK.MNRC,38.87874,-122.44277
BK.MTOS,37.5049,-121.3278
BK.PACP,37.008,-121.287
BK.PETB,38.1189,-122.5011
BK.RFSB,37.91608,-122.33607
BK.SAO,36.76403,-121.44722
BK.SCCB,37.28744,-121.86422
BK.VAK,37.877526,-122.24889
BK.VALB,38.1215,-122.2753
BK.WENL,37.62211,-121.75697
NC.BSR,36.667431,-121.520325
NC.C001,37.5215,-121.933762
NC.C002,37.558453,-122.034508
NC.C005,37.810753,-122.236076
NC.C006,37.591782,-122.058243
NC.C007,37.895573,-122.262802
NC.C008,37.895649,-122.293594
NC.C010,37.944004,-122.009933
NC.C011,37.906418,-122.292381
NC.C012,37.926361,-122.312477
NC.C013,37.82383,-122.188614
NC.C015,37.559444,-121.993729
NC.C016,37.396355,-121.867027
NC.C017,37.506489,-121.926201
NC.C018,37.979298,-122.117378
NC.C021,37.695004,-122.063759
NC.C024,37.94334,-122.335838
NC.C026,37.870518,-122.051353
NC.C027,37.79351,-121.979668
NC.C028,37.850948,-122.24588
NC.C029,37.788818,-121.971252
NC.C033,37.846699,-122.289543
NC.C039,37.467072,-121.911598
NC.C041,37.375698,-121.826088
NC.C044,37.730778,-122.231194
NC.C045,37.749619,-121.96196
NC.C046,37.35363,-121.882538
NC.C047,37.829147,-122.020287
NC.C048,37.575089,-121.991661
NC.C049,37.7766,-122.278458
NC.C050,37.523972,-121.925606
NC.C054,37.271191,-121.824417
NC.C055,37.657448,-122.110352
NC.C056,37.636311,-122.126358
NC.C057,37.95554,-121.697876
NC.C058,37.75642,-122.225761
NC.C059,37.342571,-121.772369
NC.C062,37.66753,-121.903427
NC.C064,37.805119,-122.18457
NC.C067,37.976093,-122.289551
NC.C069,37.647751,-121.896057
NC.C070,37.702782,-122.131828
NC.C071,37.682144,-122.133217
NC.C072,37.285805,-121.75589
NC.CADB,37.16346,-121.62645
NC.CAG,37.857269,-122.422661
NC.CAL,37.450348,-121.800369
NC.CAO,37.348499,-121.534691
NC.CBP,37.747665,-121.708427
NC.CBR,37.816471,-122.063019
NC.CBSB,37.817783,-121.641296
NC.CCOB,37.258984,-121.673119
NC.CDOB,37.729401,-121.833458
NC.CHR,37.372883,-121.768867
NC.CLCB,37.737865,-122.064865
NC.CML,37.477551,-121.652977
NC.CMLP,37.449055,-121.834084
NC.CMM,37.455669,-121.494667
NC.CMOB,37.810417,-121.802719
NC.CNI,37.607948,-121.964561
NC.CPI,37.988903,-122.215607
NC.CPM,37.949062,-122.408508
NC.CRPB,37.912331,-121.907158
NC.CSL,37.724159,-122.119293
NC.CSPB,37.957161,-122.311302
NC.CTA,38.026909,-122.015991
NC.CUSLD,38.026909,-122.015991
NC.CVL,37.623592,-121.836411
NC.CYB,37.807873,-122.361801
NC.CYD,37.562767,-122.09655
NC.G005,38.592064,-123.319794
NC.GCVB,38.769268,-123.01487
NC.GDXB,38.807968,-122.795303
NC.GRT,38.938667,-122.671097
NC.H002,36.87709,-121.647385
NC.HCBB,36.930889,-121.66188
NC.HCRB,36.955299,-121.582047
NC.HLP,37.04134,-121.631897
NC.HTU,36.826817,-121.643486
NC.J001,37.592735,-122.392273
NC.J002,37.367748,-122.153587
NC.J003,37.436401,-122.13472
NC.J004,37.317459,-122.036446
NC.J005,37.296062,-121.960457
NC.J006,37.356853,-122.101967
NC.J007,37.492363,-122.244667
NC.J008,37.475922,-122.188164
NC.J009,37.519733,-122.511726
NC.J010,37.457958,-122.436234
NC.J011,37.369469,-122.213707
NC.J012,37.405994,-122.106934
NC.J013,37.756023,-122.46669
NC.J015,37.331871,-121.876114
NC.J016,37.457443,-122.251671
NC.J017,37.461205,-122.228989
NC.J018,37.319592,-122.073547
NC.J019,37.434326,-122.198349
NC.J020,37.766033,-122.441139
NC.J022,37.629978,-122.44516
NC.J023,37.525528,-122.346939
NC.J025,37.394753,-122.072548
NC.J026,37.34935,-122.023911
NC.J027,37.347603,-122.084167
NC.J030,37.3862,-122.121048
NC.J031,37.581299,-122.482422
NC.J032,37.631451,-122.414993
NC.J033,37.452854,-122.195824
NC.J034,37.370224,-122.113449
NC.J035,37.557804,-122.378021
NC.J036,37.528355,-122.297813
NC.J037,37.536282,-122.237541
NC.J038,37.33205,-121.965866
NC.J039,37.621201,-122.45285
NC.J040,37.804688,-122.434738
NC.J041,37.800491,-122.441444
NC.J042,37.806194,-122.436043
NC.J043,37.560108,-122.295486
NC.J044,37.37096,-122.264442
NC.J045,37.523643,-122.301033
NC.J046,37.256607,-121.968987
NC.J049,37.588139,-122.458687
NC.J051,37.312901,-122.007835
NC.J052,37.299629,-122.24456
NC.J054,37.246849,-121.824806
NC.J055,37.39999,-121.922073
NC.J056,37.778343,-122.442886
NC.J057,37.78796,-122.463875
NC.J058,36.998039,-121.827271
NC.J060,37.712742,-122.405266
NC.J061,37.730572,-122.497421
NC.J062,37.562637,-122.265808
NC.J063,37.017448,-122.127068
NC.J064,37.420303,-122.323967
NC.J065,37.34322,-122.051247
NC.J067,37.554142,-122.340958
NC.J068,37.351501,-121.925262
NC.JAR,36.987171,-122.060829
NC.JBMB,37.318607,-122.153145
NC.JBR,37.172169,-122.011208
NC.JELB,36.927448,-121.827637
NC.JFP,37.360447,-122.189857
NC.JGR,37.516041,-122.458153
NC.JJO,37.20631,-121.977257
NC.JMGB,37.637192,-122.474823
NC.JPR,37.795269,-122.474953
NC.JPSB,37.198551,-122.34671
NC.JSA,37.582249,-122.420059
NC.JSB,37.674332,-122.398552
NC.JSFB,37.403721,-122.175957
NC.JSJ,37.333778,-122.092316
NC.JSP,37.586441,-122.502167
NC.N001,37.960415,-122.494141
NC.N002,38.182613,-122.140739
NC.N004,38.449047,-122.661362
NC.N005,38.534065,-122.788361
NC.N006,38.406288,-122.709152
NC.N008,38.428444,-122.682053
NC.N009,38.351433,-122.631638
NC.N011,38.303661,-122.680763
